logical-address=30023,page-number=7,offset=1351
tlb-remove=none,tlb-add=99logical-address=409600,page-number=100,offset=0
tlb-hit=0,page-number=100,frame=none,physical-address=none
tlb-remove=none,tlb-add=100logical-address=413696,page-number=101,offset=0
tlb-hit=0,page-number=101,frame=none,physical-address=none
tlb-remove=none,tlb-add=101logical-address=417792,page-number=102,offset=0
tlb-hit=0,page-number=102,frame=none,physical-address=none
tlb-remove=none,tlb-add=102logical-address=421888,page-number=103,offset=0
tlb-hit=0,page-number=103,frame=none,physical-address=none
tlb-remove=none,tlb-add=103logical-address=425984,page-number=104,offset=0
tlb-hit=0,page-number=104,frame=none,physical-address=none
tlb-remove=none,tlb-add=104logical-address=430080,page-number=105,offset=0
tlb-hit=0,page-number=105,frame=none,physical-address=none
tlb-remove=none,tlb-add=105logical-address=434176,page-number=106,offset=0
tlb-hit=0,page-number=106,frame=none,physical-address=none
tlb-remove=none,tlb-add=106logical-address=438272,page-number=107,offset=0
tlb-hit=0,page-number=107,frame=none,physical-address=none
tlb-remove=none,tlb-add=107logical-address=442368,page-number=108,offset=0
tlb-hit=0,page-number=108,frame=none,physical-address=none
tlb-remove=none,tlb-add=108logical-address=446464,page-number=109,offset=0
tlb-hit=0,page-number=109,frame=none,physical-address=none
tlb-remove=none,tlb-add=109logical-address=450560,page-number=110,offset=0
tlb-hit=0,page-number=110,frame=none,physical-address=none
tlb-remove=none,tlb-add=110logical-address=454656,page-number=111,offset=0
tlb-hit=0,page-number=111,frame=none,physical-address=none
tlb-remove=none,tlb-add=111logical-address=458752,page-number=112,offset=0
tlb-hit=0,page-number=112,frame=none,physical-address=none
tlb-remove=none,tlb-add=112logical-address=462848,page-number=113,offset=0
tlb-hit=0,page-number=113,frame=none,physical-address=none
tlb-remove=none,tlb-add=113logical-address=466944,page-number=114,offset=0
tlb-hit=0,page-number=114,frame=none,physical-address=none
tlb-remove=none,tlb-add=114logical-address=471040,page-number=115,offset=0
tlb-hit=0,page-number=115,frame=none,physical-address=none
tlb-remove=none,tlb-add=115logical-address=475136,page-number=116,offset=0
tlb-hit=0,page-number=116,frame=none,physical-address=none
tlb-remove=none,tlb-add=116logical-address=479232,page-number=117,offset=0
tlb-hit=0,page-number=117,frame=none,physical-address=none
tlb-remove=none,tlb-add=117logical-address=483328,page-number=118,offset=0
tlb-hit=0,page-number=118,frame=none,physical-address=none
tlb-remove=none,tlb-add=118logical-address=487424,page-number=119,offset=0
tlb-hit=0,page-number=119,frame=none,physical-address=none
tlb-remove=none,tlb-add=119logical-address=491520,page-number=120,offset=0
tlb-hit=0,page-number=120,frame=none,physical-address=none
tlb-remove=none,tlb-add=120logical-address=495616,page-number=121,offset=0
tlb-hit=0,page-number=121,frame=none,physical-address=none
tlb-remove=none,tlb-add=121logical-address=499712,page-number=122,offset=0
tlb-hit=0,page-number=122,frame=none,physical-address=none
tlb-remove=none,tlb-add=122logical-address=503808,page-number=123,offset=0
tlb-hit=0,page-number=123,frame=none,physical-address=none
tlb-remove=none,tlb-add=123logical-address=507904,page-number=124,offset=0
tlb-hit=0,page-number=124,frame=none,physical-address=none
tlb-remove=none,tlb-add=124logical-address=512000,page-number=125,offset=0
tlb-hit=0,page-number=125,frame=none,physical-address=none
tlb-remove=none,tlb-add=125logical-address=516096,page-number=126,offset=0
tlb-hit=0,page-number=126,frame=none,physical-address=none
tlb-remove=none,tlb-add=126logical-address=520192,page-number=127,offset=0
tlb-hit=0,page-number=127,frame=none,physical-address=none
tlb-remove=none,tlb-add=127logical-address=524288,page-number=128,offset=0
tlb-hit=0,page-number=128,frame=none,physical-address=none
tlb-remove=none,tlb-add=128logical-address=528384,page-number=129,offset=0
tlb-hit=0,page-number=129,frame=none,physical-address=none
tlb-remove=none,tlb-add=129logical-address=532480,page-number=130,offset=0
tlb-hit=0,page-number=130,frame=none,physical-address=none
tlb-remove=none,tlb-add=130logical-address=536576,page-number=131,offset=0
tlb-hit=0,page-number=131,frame=none,physical-address=none
tlb-remove=none,tlb-add=131logical-address=540672,page-number=132,offset=0
tlb-hit=0,page-number=132,frame=none,physical-address=none
tlb-remove=none,tlb-add=132logical-address=544768,page-number=133,offset=0
tlb-hit=0,page-number=133,frame=none,physical-address=none
tlb-remove=none,tlb-add=133logical-address=548864,page-number=134,offset=0
tlb-hit=0,page-number=134,frame=none,physical-address=none
tlb-remove=none,tlb-add=134logical-address=552960,page-number=135,offset=0
tlb-hit=0,page-number=135,frame=none,physical-address=none
tlb-remove=none,tlb-add=135logical-address=557056,page-number=136,offset=0
tlb-hit=0,page-number=136,frame=none,physical-address=none
tlb-remove=none,tlb-add=136logical-address=561152,page-number=137,offset=0
tlb-hit=0,page-number=137,frame=none,physical-address=none
tlb-remove=none,tlb-add=137logical-address=565248,page-number=138,offset=0
tlb-hit=0,page-number=138,frame=none,physical-address=none
tlb-remove=none,tlb-add=138logical-address=569344,page-number=139,offset=0
tlb-hit=0,page-number=139,frame=none,physical-address=none
tlb-remove=none,tlb-add=139logical-address=573440,page-number=140,offset=0
tlb-hit=0,page-number=140,frame=none,physical-address=none
